Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
2016-04-18,Stoke,Tottenham,0,4
2016-04-19,Newcastle,Man City,1,1
2016-04-20,Liverpool,Everton,4,0
2016-04-20,Man United,Crystal Palace,2,0
2016-04-20,West Ham,Watford,3,1
2016-04-21,Arsenal,West Brom,2,0
2016-04-23,Aston Villa,Southampton,2,4
2016-04-23,Bournemouth,Chelsea,1,4
2016-04-23,Liverpool,Newcastle,2,2
2016-04-23,Man City,Stoke,4,0
2016-04-24,Leicester,Swansea,4,0
2016-04-24,Sunderland,Arsenal,0,0
2016-04-25,Tottenham,West Brom,1,1
2016-04-30,Arsenal,Norwich,1,0
2016-04-30,Everton,Bournemouth,2,1
2016-04-30,Newcastle,Crystal Palace,1,0
2016-04-30,Stoke,Sunderland,1,1
2016-04-30,Watford,Aston Villa,3,2
2016-04-30,West Brom,West Ham,0,3
2016-01-05,Man United,Leicester,1,1
2016-01-05,Southampton,Man City,4,2
2016-01-05,Swansea,Liverpool,3,1
2016-02-05,Chelsea,Tottenham,2,2
2016-07-05,Aston Villa,Newcastle,0,0
2016-07-05,Bournemouth,West Brom,1,1
2016-07-05,Crystal Palace,Stoke,2,1
2016-07-05,Leicester,Everton,3,1
2016-07-05,Norwich,Man United,0,1
2016-07-05,Sunderland,Chelsea,3,2
2016-07-05,West Ham,Swansea,1,4
2016-08-05,Liverpool,Watford,2,0
2016-08-05,Man City,Arsenal,2,2
2016-08-05,Tottenham,Southampton,1,2
2016-10-05,West Ham,Man United,3,2
2016-11-05,Liverpool,Chelsea,1,1
2016-11-05,Norwich,Watford,4,2
2016-11-05,Sunderland,Everton,3,0
2016-05-15,Arsenal,Aston Villa,4,0
2016-05-15,Chelsea,Leicester,1,1
2016-05-15,Everton,Norwich,3,0
2016-05-15,Newcastle,Tottenham,5,1
2016-05-15,Southampton,Crystal Palace,4,1
2016-05-15,Stoke,West Ham,2,1
2016-05-15,Swansea,Man City,1,1
2016-05-15,Watford,Sunderland,2,2
2016-05-15,West Brom,Liverpool,1,1
2016-05-17,Man United,Bournemouth,3,1
